	n	repetitions	time
     0	     5876	0.000000
    10	     4555	0.000000
    20	     2995	0.000000
    30	     1867	0.000001
    40	     1168	0.000001
    50	      774	0.000001
    60	      579	0.000002
    70	      421	0.000002
    80	      326	0.000003
    90	      265	0.000004
   100	      220	0.000005
   200	       61	0.000016
   300	       27	0.000038
   400	       17	0.000059
   500	       11	0.000092
   600	        8	0.000129
   700	        5	0.000222
   800	        4	0.000312
   900	        4	0.000317
  1000	        3	0.000355
  1100	        3	0.000553
  1200	        2	0.000602
  1300	        2	0.000620
  1400	        2	0.000769
  1500	        2	0.000841
  1600	        2	0.000950
  1700	        1	0.001024
  1800	        1	0.001134
  1900	        1	0.001359
  2000	        1	0.001410
